easting	northing	depth	day number	days from start 1995	decimal year	Mw	rupture diameter	LATITUDE	LONGITUDE
354.80	-6688.2	-6200.0	34827.69928241	127.69928241	1995.3528	1.5080	64.763	35.179797	139.013574
1041.9	-508.90	-2588.0	34833.42674769	133.42674769	1995.3694	0.97352	35.002	35.235494	139.021126
878.60	2862.0	-1579.0	34858.90319444	158.90319444	1995.4361	1.1517	42.970	35.265877	139.019336
2309.6	-300.00	613.00	34859.48737269	159.48737269	1995.4389	0.97352	35.002	35.237374	139.035059
540.10	-2444.7	-4363.0	34880.35748843	180.35748843	1995.4972	1.0626	38.782	35.218046	139.015625
608.30	-2380.0	-4242.0	34880.35748843	180.35748843	1995.4972	0.97352	35.002	35.218628	139.016374
862.40	-1251.7	-2758.0	34893.12502315	193.12502315	1995.5333	1.1517	42.970	35.228796	139.019157
1179.6	-2372.3	-5077.0	34894.85340278	194.85340278	1995.5361	0.70628	25.732	35.218697	139.022640
1409.0	-2075.0	-3402.0	34902.78785880	202.78785880	1995.5583	0.88444	31.590	35.221379	139.025163
1389.8	-2030.3	-3150.0	34902.80325231	202.80325231	1995.5583	1.5080	64.763	35.221781	139.024951
1302.1	-2070.7	-3393.0	34902.83287037	202.83287037	1995.5583	1.2408	47.611	35.221415	139.023991
1280.8	-2120.2	-3213.0	34902.83709491	202.83709491	1995.5583	0.34996	17.073	35.220968	139.023747
1386.0	-2127.8	-3144.0	34917.03368056	217.03368056	1995.5972	1.5971	71.758	35.220903	139.024902
1345.3	-2193.7	-3166.0	34917.38490741	217.38490741	1995.5972	1.0626	38.782	35.220308	139.024463
1339.2	-2189.8	-3231.0	34917.42200231	217.42200231	1995.5972	0.97352	35.002	35.220341	139.024398
1284.7	-2053.1	-3227.0	34917.63884259	217.63884259	1995.5972	1.7752	88.095	35.221574	139.023796
1295.0	-2213.3	-3367.0	34917.79771991	217.79771991	1995.5972	1.0626	38.782	35.220129	139.023910
-93.300	-3293.5	-3814.0	34921.08723380	221.08723380	1995.6083	0.79536	28.511	35.210396	139.008659
1482.0	-2202.9	-4729.0	34928.17932870	228.17932870	1995.6278	0.52812	20.960	35.220223	139.025960
2711.2	-1042.5	457.00	34930.76314815	230.76314815	1995.6333	0.26088	15.409	35.230684	139.039469
1239.0	-629.90	-3355.0	34935.77539352	235.77539352	1995.6472	1.3298	52.753	35.234403	139.023291
777.80	-742.80	-3057.0	34937.73980324	237.73980324	1995.6528	0.70628	25.732	35.233386	139.018229
993.60	-754.50	-2600.0	34937.74241898	237.74241898	1995.6528	0.70628	25.732	35.233280	139.020605
618.00	-5978.4	-5505.0	34941.76256944	241.76256944	1995.6639	0.97352	35.002	35.186194	139.016471
1023.8	1619.3	-2438.0	34947.89631944	247.89631944	1995.6778	0.43904	18.917	35.254675	139.020931
1098.3	-1173.1	-3101.0	34955.17810185	255.17810185	1995.7000	0.43904	18.917	35.229504	139.021745
1384.6	-8273.3	-8936.0	34978.99459491	278.99459491	1995.7639	1.3298	52.753	35.165507	139.024886
72.900	-9079.5	-5940.0	34983.56156250	283.56156250	1995.7778	1.6862	79.508	35.158244	139.010482
1793.3	-2098.3	-5133.0	34985.91388889	285.91388889	1995.7833	1.1517	42.970	35.221167	139.029378
-26.000	-5046.6	-1102.0	34989.03833333	289.03833333	1995.7944	0.97352	35.002	35.194592	139.009391
1178.5	-1541.1	-4158.0	35005.10030093	305.10030093	1995.8361	0.70628	25.732	35.226188	139.022624
1540.1	-528.50	-483.00	35006.23413194	306.23413194	1995.8389	0.88444	31.590	35.235315	139.026611
545.00	4525.8	-2376.0	35012.93836806	312.93836806	1995.8556	0.52812	20.960	35.280872	139.015674
1601.7	-6381.3	-6903.0	35027.07436343	327.07436343	1995.8972	0.52812	20.960	35.182560	139.027279
766.90	2758.4	-1379.0	35030.93787037	330.93787037	1995.9056	0.34996	17.073	35.264941	139.018115
912.60	-3074.7	-2219.0	35034.08372685	334.08372685	1995.9167	0.17180	13.907	35.212366	139.019710
-2782.2	-532.80	-1501.0	35036.24263889	336.24263889	1995.9222	0.97352	35.002	35.235278	138.979118
-2865.7	-495.50	-1486.0	35036.24388889	336.24388889	1995.9222	0.61720	23.224	35.235612	138.978206
-2321.9	-801.70	-1528.0	35036.25577546	336.25577546	1995.9222	0.79536	28.511	35.232853	138.984180
-2748.7	-521.40	-1452.0	35036.25744213	336.25744213	1995.9222	1.0626	38.782	35.235380	138.979492
-2277.9	-514.80	-1470.0	35036.26114583	336.26114583	1995.9222	0.70628	25.732	35.235441	138.984652
-2710.4	-646.60	-1427.0	35036.28077546	336.28077546	1995.9222	0.79536	28.511	35.234253	138.979915
-3064.8	4392.5	224.00	35051.45177083	351.45177083	1995.9639	1.3298	52.753	35.279671	138.976009
2060.6	-2381.7	-5346.0	35053.86851852	353.86851852	1995.9694	0.79536	28.511	35.218612	139.032324
1050.3	-1764.4	-3711.0	35063.75841435	363.75841435	1995.9972	1.2408	47.611	35.224178	139.021224
1829.1	543.50	-4428.0	35071.39373843	371.39373843	1996.0167	1.2408	47.611	35.244979	139.029785
196.20	-2383.1	-301.00	35087.15962963	387.15962963	1996.0611	2.0425	119.83	35.218599	139.011833
263.10	-2453.0	-162.00	35087.16767361	387.16767361	1996.0611	1.5080	64.763	35.217969	139.012581
344.70	-2392.3	-198.00	35087.20430556	387.20430556	1996.0611	2.2206	147.11	35.218518	139.013477
467.70	-2080.3	-3963.0	35090.95065972	390.95065972	1996.0694	1.7752	88.095	35.221330	139.014827
908.90	-2491.3	-4351.0	35090.95106481	390.95106481	1996.0694	1.8643	97.609	35.217623	139.019661
2299.9	-1197.6	132.00	35095.05090278	395.05090278	1996.0833	1.8643	97.609	35.229285	139.034945
559.30	-2481.2	-4611.0	35101.14204861	401.14204861	1996.0972	2.0425	119.83	35.217716	139.015820
1022.8	-2949.7	-4415.0	35101.15285880	401.15285880	1996.0972	1.6862	79.508	35.213493	139.020915
1737.6	-1812.2	-4972.0	35106.45622685	406.45622685	1996.1111	1.5971	71.758	35.223747	139.028776
1575.2	-1569.2	-3795.0	35109.15218750	409.15218750	1996.1194	0.43904	18.917	35.225936	139.026986
978.20	-825.00	-2331.0	35116.13199074	416.13199074	1996.1389	0.79536	28.511	35.232642	139.020426
755.50	4850.6	-1368.0	35116.23925926	416.23925926	1996.1389	1.2408	47.611	35.283801	139.017985
-714.00	-4713.2	-5313.0	35123.10434028	423.10434028	1996.1583	1.4189	58.451	35.197599	139.001839
487.50	-3096.8	-5725.0	35139.04605324	439.04605324	1996.2056	1.4189	58.451	35.212166	139.015039
438.10	-3051.5	-5698.0	35147.00372685	447.00372685	1996.2278	0.88444	31.590	35.212577	139.014502
841.50	1485.5	-801.00	35147.90325231	447.90325231	1996.2278	0.34996	17.073	35.253471	139.018929
817.20	2289.7	-773.00	35150.98178241	450.98178241	1996.2361	0.70628	25.732	35.260718	139.018669
2384.0	349.30	-2984.0	35175.22724537	475.22724537	1996.3028	0.88444	31.590	35.243229	139.035872
1305.5	-434.00	-3457.0	35176.68313657	476.68313657	1996.3056	1.4189	58.451	35.236169	139.024023
745.20	-2726.1	-4807.0	35180.81333333	480.81333333	1996.3167	0.61720	23.224	35.215507	139.017871
1884.0	-2221.8	-5546.0	35183.29216435	483.29216435	1996.3250	0.70628	25.732	35.220052	139.030387
671.90	-1961.9	-4229.0	35184.12171296	484.12171296	1996.3278	1.0626	38.782	35.222396	139.017057
1120.6	-2115.1	-4121.0	35191.95025463	491.95025463	1996.3472	0.97352	35.002	35.221016	139.021989
1164.9	-2047.2	-4198.0	35191.95730324	491.95730324	1996.3472	0.79536	28.511	35.221627	139.022477
1137.7	-2162.0	-4223.0	35191.95844907	491.95844907	1996.3472	0.79536	28.511	35.220593	139.022184
776.40	-6565.6	-5856.0	35198.52778935	498.52778935	1996.3667	1.3298	52.753	35.180900	139.018213
